epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1214,1.01105,3.26643,1.14422,0.00591,0.51667,0.15549,0.09781,1.94792,4.02491,1.4037,1.429e-05,1.429e-05,1.429e-05
2,20.7906,0.97302,3.31189,1.12568,0.00605,0.52083,0.20872,0.13004,1.95422,3.99038,1.39137,4.07479e-05,4.07479e-05,4.07479e-05
3,32.1177,1.02212,3.26055,1.08379,0.00737,0.62083,0.27237,0.15515,1.90672,3.94048,1.33714,6.43764e-05,6.43764e-05,6.43764e-05
4,45.2263,1.04996,3.01253,1.15336,0.01126,0.80833,0.33441,0.17901,1.80926,3.8972,1.27103,8.51755e-05,8.51755e-05,8.51755e-05
5,55.8854,1.03322,2.83519,1.09212,0.01421,0.8375,0.408,0.20018,1.81,3.85608,1.26171,0.000103145,0.000103145,0.000103145
6,67.7499,1.05322,2.52246,1.13771,0.01689,0.86667,0.44396,0.21197,1.84054,3.79261,1.26488,0.000118285,0.000118285,0.000118285
7,78.1055,0.99714,2.24158,1.09079,0.01892,0.85,0.4632,0.22463,1.86644,3.73158,1.28196,0.000130596,0.000130596,0.000130596
8,88.4642,0.93829,1.90494,1.10022,0.01989,0.82083,0.45691,0.2209,1.90428,3.67367,1.30441,0.000140078,0.000140078,0.000140078
9,98.8257,1.0972,1.66698,1.14686,0.02035,0.84167,0.4563,0.21923,1.94375,3.6478,1.32731,0.00014673,0.00014673,0.00014673
10,111.605,1.05223,1.62082,1.14132,0.0208,0.85417,0.45743,0.22113,1.94924,3.62043,1.31812,0.000150552,0.000150552,0.000150552
11,122.223,0.90069,1.62114,1.04612,0.5268,0.43333,0.46215,0.21815,1.96496,3.59694,1.32198,0.000151545,0.000151545,0.000151545
12,131.76,0.91654,1.73856,1.05713,0.93667,0.24523,0.45986,0.2211,1.97182,3.57032,1.31734,0.000149709,0.000149709,0.000149709
13,141.094,0.85019,1.61869,1.02181,1,0.18818,0.45733,0.2207,1.98027,3.55839,1.3178,0.000145044,0.000145044,0.000145044
14,149.531,0.86361,1.45905,0.99972,1,0.18691,0.46258,0.22078,1.97728,3.53988,1.30285,0.000137548,0.000137548,0.000137548
15,158.373,0.84482,1.51155,0.99755,1,0.21839,0.46684,0.22573,1.98933,3.52121,1.30323,0.000127224,0.000127224,0.000127224
16,166.979,0.913,1.55688,1.04385,1,0.24341,0.46466,0.23056,2.00118,3.49984,1.29493,0.00011407,0.00011407,0.00011407
17,175.961,0.87372,1.48139,0.99735,1,0.26473,0.46789,0.23286,1.98713,3.48934,1.28891,9.80866e-05,9.80866e-05,9.80866e-05
18,184.768,0.85112,1.42929,1.01074,1,0.27521,0.47578,0.23365,1.9895,3.47523,1.28957,7.92738e-05,7.92738e-05,7.92738e-05
19,193.747,0.79987,1.47416,0.9674,1,0.28206,0.48414,0.23813,1.99694,3.45793,1.29284,5.76316e-05,5.76316e-05,5.76316e-05
20,202.242,0.81873,1.46635,0.96342,1,0.28731,0.48959,0.23972,2.00664,3.43663,1.29745,3.31599e-05,3.31599e-05,3.31599e-05
