epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4687,1.01105,3.26643,1.14422,0.00591,0.51667,0.15549,0.09781,1.94792,4.02491,1.4037,1.429e-05,1.429e-05,1.429e-05
2,21.643,0.97267,3.31129,1.12557,0.00605,0.52083,0.20943,0.13023,1.95576,3.98825,1.38999,4.20212e-05,4.20212e-05,4.20212e-05
3,33.0184,1.02255,3.25539,1.08333,0.00775,0.65,0.27796,0.15694,1.90576,3.93661,1.3343,6.86206e-05,6.86206e-05,6.86206e-05
4,44.4163,1.05468,2.99122,1.15577,0.01165,0.80833,0.33496,0.17978,1.82307,3.87289,1.27557,9.40882e-05,9.40882e-05,9.40882e-05
5,55.7534,1.03482,2.79141,1.08989,0.01405,0.80833,0.39265,0.19487,1.78963,3.86386,1.26023,0.000118424,0.000118424,0.000118424
6,66.3845,1.05677,2.43671,1.13585,0.01732,0.86667,0.43217,0.20794,1.82183,3.78702,1.27125,0.000141628,0.000141628,0.000141628
7,77.0901,0.96951,2.08913,1.08384,0.01823,0.82083,0.43373,0.20679,1.87376,3.70207,1.28651,0.000163701,0.000163701,0.000163701
8,87.7466,0.94472,1.76845,1.10467,0.01893,0.83333,0.43096,0.20424,1.91011,3.64204,1.32013,0.000184641,0.000184641,0.000184641
9,98.5011,1.05883,1.54993,1.12074,0.01926,0.87917,0.43392,0.20668,1.94407,3.6036,1.35186,0.00020445,0.00020445,0.00020445
10,109.268,1.06477,1.5767,1.13511,0.86825,0.18602,0.43451,0.2073,1.97919,3.57063,1.36621,0.000223127,0.000223127,0.000223127
11,119.705,1.00908,1.44825,1.12795,1,0.16355,0.42014,0.20446,1.99974,3.54307,1.38424,0.000240672,0.000240672,0.000240672
12,129.006,0.88022,1.49177,1.06237,0.96658,0.19935,0.43009,0.2152,2.02275,3.51816,1.38571,0.000257086,0.000257086,0.000257086
13,138.617,0.89002,1.31453,1.03415,0.87112,0.27585,0.43788,0.22287,2.01477,3.48081,1.36302,0.000272367,0.000272367,0.000272367
